Date,Count
4/17/1916,2
4/18/1916,1
4/20/1916,1
4/22/1916,1
4/27/1916,2
4/28/1916,2
4/29/1916,2
5/01/1916,1
5/02/1916,1
5/03/1916,1
5/04/1916,2
5/05/1916,2
5/08/1916,1
5/09/1916,2
5/10/1916,1
5/13/1916,3
5/14/1916,1
5/15/1916,1
5/16/1916,5
5/17/1916,4
5/18/1916,2
5/19/1916,7
5/20/1916,1
5/21/1916,2
5/22/1916,4
5/23/1916,1
5/24/1916,3
5/25/1916,6
5/26/1916,1
5/27/1916,6
5/28/1916,6
5/29/1916,6
5/30/1916,8
5/31/1916,11
6/01/1916,8
6/02/1916,4
6/03/1916,7
6/04/1916,7
6/05/1916,13
6/06/1916,7
6/07/1916,7
6/08/1916,8
6/09/1916,3
6/10/1916,2
6/11/1916,7
6/12/1916,6
6/13/1916,5
6/14/1916,9
6/15/1916,4
6/16/1916,4
6/17/1916,6
6/18/1916,5
6/19/1916,5
6/20/1916,6
6/21/1916,4
6/22/1916,6
6/23/1916,12
6/24/1916,5
6/25/1916,3
6/26/1916,5
6/27/1916,5
6/28/1916,3
6/29/1916,15
6/30/1916,9
7/01/1916,7
7/02/1916,17
7/03/1916,61
7/04/1916,7
7/05/1916,5
7/06/1916,5
7/07/1916,7
7/08/1916,14
7/09/1916,32
7/10/1916,17
7/11/1916,15
7/12/1916,10
7/13/1916,11
7/14/1916,61
7/15/1916,17
7/16/1916,11
7/17/1916,6
7/18/1916,8
7/19/1916,44
7/20/1916,16
7/21/1916,6
7/22/1916,6
7/23/1916,6
7/24/1916,8
7/25/1916,5
7/26/1916,10
7/27/1916,12
7/28/1916,10
7/29/1916,11
7/30/1916,9
7/31/1916,14
8/01/1916,3
8/03/1916,6
8/04/1916,10
8/05/1916,11
8/06/1916,8
8/07/1916,6
8/08/1916,6
8/09/1916,36
8/10/1916,2
8/11/1916,6
8/12/1916,8
8/13/1916,3
8/14/1916,4
8/15/1916,18
8/16/1916,2
8/17/1916,4
8/18/1916,7
8/19/1916,2
8/20/1916,6
8/21/1916,4
8/22/1916,3
8/23/1916,2
8/24/1916,3
8/25/1916,2
8/26/1916,2
8/27/1916,2
8/28/1916,1
8/29/1916,2
8/30/1916,2
8/31/1916,6
9/01/1916,1
9/02/1916,3
9/03/1916,3
9/04/1916,5
9/05/1916,3
9/06/1916,1
9/07/1916,2
9/08/1916,5
9/09/1916,5
9/10/1916,13
9/11/1916,6
9/12/1916,13
9/13/1916,14
9/14/1916,27
9/15/1916,608
9/16/1916,211
9/17/1916,91
9/18/1916,27
9/19/1916,36
9/20/1916,58
9/21/1916,110
9/22/1916,41
9/23/1916,32
9/24/1916,34
9/25/1916,72
9/26/1916,63
9/27/1916,145
9/28/1916,58
9/29/1916,28
9/30/1916,58
10/01/1916,159
10/02/1916,72
10/03/1916,36
10/04/1916,15
10/05/1916,23
10/06/1916,13
10/07/1916,19
10/08/1916,13
10/09/1916,6
10/10/1916,13
10/11/1916,10
10/12/1916,8
10/13/1916,1
10/14/1916,14
10/15/1916,10
10/16/1916,1
10/17/1916,6
10/18/1916,1
10/19/1916,6
10/20/1916,9
10/21/1916,23
10/22/1916,3
10/23/1916,8
10/24/1916,1
10/25/1916,6
10/26/1916,1
10/27/1916,1
10/28/1916,1
10/29/1916,4
10/30/1916,3
10/31/1916,6
11/01/1916,4
11/02/1916,7
11/03/1916,6
11/04/1916,3
11/05/1916,5
11/06/1916,6
11/07/1916,4
11/08/1916,3
11/09/1916,5
11/10/1916,7
11/11/1916,6
11/12/1916,7
11/13/1916,4
11/14/1916,13
11/15/1916,19
11/16/1916,16
11/17/1916,2
11/18/1916,2
11/19/1916,5
11/21/1916,8
11/22/1916,3
11/23/1916,7
11/24/1916,4
11/25/1916,3
11/26/1916,4
11/27/1916,4
11/28/1916,2
11/29/1916,2
12/02/1916,1
12/03/1916,1
12/04/1916,2
12/05/1916,4
12/06/1916,5
12/07/1916,4
12/08/1916,4
12/09/1916,4
12/10/1916,13
12/11/1916,2
12/12/1916,2
12/13/1916,4
12/14/1916,4
12/15/1916,1
12/16/1916,3
12/17/1916,2
12/18/1916,7
12/19/1916,5
12/20/1916,3
12/21/1916,3
12/22/1916,1
12/23/1916,16
12/24/1916,6
12/25/1916,1
12/26/1916,2
12/27/1916,3
12/28/1916,3
12/30/1916,7
